,,,,,,,,,,,Boaz's Point Lat,,Boaz's Point Lon,,Boaz's Point Alt,
0,1c:b9:c4:15:42:68,Ariel_University,11,-85,32.10199722,35.20871899,684.4882369,03/12/2017 08:53,Approx. w-center algo1,,32.10199722,MATCH,35.20871899,MATCH,684.4882369,MATCH
1,1c:b9:c4:15:44:58,Ariel_University,11,-77,32.1020322,35.20871899,684.6488641,03/12/2017 08:53,Approx. w-center algo1,,32.1020322,MATCH,35.20871899,MATCH,684.6488641,MATCH
2,1c:b9:c4:16:2d:e8,Ariel_University,11,-83,32.10219234,35.20871899,685,03/12/2017 08:53,Approx. w-center algo1,,32.10219234,MATCH,35.20871899,MATCH,685,MATCH
3,1c:b9:c4:15:25:48,Ariel_University,1,-80,32.10220501,35.20871899,685,03/12/2017 08:53,Approx. w-center algo1,,32.10220501,MATCH,35.20871899,MATCH,685,MATCH
4,1c:b9:c4:16:05:38,Ariel_University,11,-75,32.10231423,35.20872474,685,03/12/2017 08:53,Approx. w-center algo1,,32.10231423,MATCH,35.20872474,MATCH,685,MATCH
5,00:11:6b:11:7e:0c,yosh,1,-84,32.10233468,35.2088043,685,03/12/2017 08:53,Approx. w-center algo1,,32.10233468,MATCH,35.2088043,MATCH,685,MATCH
6,1c:b9:c4:15:44:88,Ariel_University,6,-77,32.1023794,35.208807,685.5370355,03/12/2017 08:55,Approx. w-center algo1,,32.1023794,MATCH,35.208807,MATCH,685.5370355,MATCH
7,1c:b9:c4:15:ed:48,Ariel_University,1,-80,32.10238085,35.20881018,685.7007149,03/12/2017 08:55,Approx. w-center algo1,,32.10238085,MATCH,35.20881018,MATCH,685.7007149,MATCH
8,c2:6c:ac:a0:7b:4d,outsense,11,-67,32.10238085,35.2088191,686,03/12/2017 08:53,Approx. w-center algo1,,32.10238085,MATCH,35.2088191,MATCH,686,MATCH
9,a2:6c:ac:a0:7b:4d,Guest,11,-71,32.10238085,35.20883622,686,03/12/2017 08:53,Approx. w-center algo1,,32.10238085,MATCH,35.20883622,MATCH,686,MATCH
10,c2:6c:ac:9f:fb:1f,shapedo,1,-82,32.1024236,35.20884709,686,03/12/2017 08:53,Approx. w-center algo1,,32.1024236,MATCH,35.20884709,MATCH,686,MATCH
11,1c:b9:c4:16:2b:e8,Ariel_University,6,-83,32.10244119,35.20884914,686,03/12/2017 08:53,Approx. w-center algo1,,32.10244119,MATCH,35.20884914,MATCH,686,MATCH
12,90:6c:ac:a0:7b:4d,EVE,11,-69,32.1024612,35.2088745,686,03/12/2017 08:53,Approx. w-center algo1,,32.1024612,MATCH,35.2088745,MATCH,686,MATCH
13,1c:b9:c4:15:41:78,Ariel_University,1,-71,32.10247524,35.20887728,686.1497894,03/12/2017 08:55,Approx. w-center algo1,,32.10247524,MATCH,35.20887728,MATCH,686.1497894,MATCH
14,1c:b9:c4:14:2b:c8,Ariel_University,6,-81,32.10250336,35.20892269,686.3118177,03/12/2017 08:56,Approx. w-center algo1,,32.10250336,MATCH,35.20892269,MATCH,686.3118177,MATCH
15,1c:b9:c4:16:05:78,Ariel_University,6,-80,32.10250578,35.20894816,686.3675019,03/12/2017 08:53,Approx. w-center algo1,,32.10250578,MATCH,35.20894816,MATCH,686.3675019,MATCH
16,00:1a:dd:f5:df:c5,Afikim_Wifi,6,-87,32.10253876,35.20901946,686.4634635,03/12/2017 08:53,Approx. w-center algo1,,32.10253876,MATCH,35.20901946,MATCH,686.4634635,MATCH
17,74:ea:3a:ad:d1:50,TP-LINK_ADD150,4,-69,32.10254585,35.20902709,686.5066387,03/12/2017 08:53,Approx. w-center algo1,,32.10254585,MATCH,35.20902709,MATCH,686.5066387,MATCH
18,90:6c:ac:a0:60:4d,Guest,1,-69,32.10258765,35.20902709,686.5181812,03/12/2017 08:53,Approx. w-center algo1,,32.10258765,MATCH,35.20902709,MATCH,686.5181812,MATCH
19,a2:6c:ac:a0:60:4d,incentive2,1,-70,32.10259991,35.20903518,686.5295599,03/12/2017 08:53,Approx. w-center algo1,,32.10259991,MATCH,35.20903518,MATCH,686.5295599,MATCH
20,70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,11,-74,32.10260082,35.20909272,686.9664073,03/12/2017 08:53,Approx. w-center algo1,,32.10260082,MATCH,35.20909272,MATCH,686.9664073,MATCH
21,1c:b9:c4:96:05:37, ,36,-83,32.10262261,35.2090937,687,03/12/2017 08:53,Approx. w-center algo1,,32.10262261,MATCH,35.2090937,MATCH,687,MATCH
22,1c:b9:c4:15:23:58,Ariel_University,6,-79,32.1026245,35.2090994,687,03/12/2017 08:54,Approx. w-center algo1,,32.1026245,MATCH,35.2090994,MATCH,687,MATCH
23,24:79:2a:2c:5b:d8,Ariel_University,1,-78,32.1026849,35.20911465,687,03/12/2017 08:53,Approx. w-center algo1,,32.1026849,MATCH,35.20911465,MATCH,687,MATCH
24,90:6c:ac:9f:f1:c5,CliClap,2,-82,32.10268971,35.20915268,687,03/12/2017 08:53,Approx. w-center algo1,,32.10268971,MATCH,35.20915268,MATCH,687,MATCH
25,a2:6c:ac:a0:18:29,artsim,6,-80,32.10270219,35.20917533,687,03/12/2017 08:53,Approx. w-center algo1,,32.10270219,MATCH,35.20917533,MATCH,687,MATCH
26,1c:b9:c4:16:1d:78,Ariel_University,1,-81,32.10273836,35.20918233,687,03/12/2017 08:54,Approx. w-center algo1,,32.10273836,MATCH,35.20918233,MATCH,687,MATCH
27,1c:b9:c4:16:cc:d8,Ariel_University,1,-76,32.10274869,35.20919203,687,03/12/2017 08:54,Approx. w-center algo1,,32.10274869,MATCH,35.20919203,MATCH,687,MATCH
28,ec:8c:a2:26:d3:68,Ariel_University,11,-64,32.10275085,35.2091935,687.2863072,03/12/2017 08:54,Approx. w-center algo1,,32.10275085,MATCH,35.2091935,MATCH,687.2863072,MATCH
29,1c:b9:c4:15:1c:b8,Ariel_University,1,-75,32.10275183,35.20920836,687.4086695,03/12/2017 09:03,Approx. w-center algo1,,32.10275183,MATCH,35.20920836,MATCH,687.4086695,MATCH
30,ec:8c:a2:26:b0:e8,Ariel_University,6,-84,32.10279663,35.20920844,687.5,03/12/2017 08:54,Approx. w-center algo1,,32.10279663,MATCH,35.20920844,MATCH,687.5,MATCH
31,00:02:6f:8e:64:67, ,1,-91,32.10282339,35.20922592,687.7614554,03/12/2017 08:54,Approx. w-center algo1,,32.10282339,MATCH,35.20922592,MATCH,687.7614554,MATCH
32,b2:6c:ac:9f:f1:c5,paysday,2,-82,32.10282362,35.2093022,687.9477801,03/12/2017 08:54,Approx. w-center algo1,,32.10282362,MATCH,35.2093022,MATCH,687.9477801,MATCH
33,b2:6c:ac:a0:3d:eb,sinusafe,3,-75,32.10282362,35.2093103,688,03/12/2017 08:54,Approx. w-center algo1,,32.10282362,MATCH,35.2093103,MATCH,688,MATCH
34,1c:b9:c4:16:28:e8,Ariel_University,1,-65,32.10282362,35.20935702,688,03/12/2017 08:54,Approx. w-center algo1,,32.10282362,MATCH,35.20935702,MATCH,688,MATCH
35,b2:6c:ac:a0:7b:4d,magneto,11,-78,32.10282362,35.20936592,688,03/12/2017 08:54,Approx. w-center algo1,,32.10282362,MATCH,35.20936592,MATCH,688,MATCH
36,1c:b9:c4:15:fd:48,Ariel_University,1,-71,32.10283875,35.20941178,688,03/12/2017 09:06,Approx. w-center algo1,,32.10283875,MATCH,35.20941178,MATCH,688,MATCH
37,8c:0c:90:2e:16:88,Ariel_University,11,-80,32.1028505,35.2094311,688.1025051,03/12/2017 09:07,Approx. w-center algo1,,32.1028505,MATCH,35.2094311,MATCH,688.1025051,MATCH
38,ec:8c:a2:08:78:c8,Ariel_University,6,-77,32.10291688,35.20946023,688.1457312,03/12/2017 08:54,Approx. w-center algo1,,32.10291688,MATCH,35.20946023,MATCH,688.1457312,MATCH
39,e0:10:7f:1a:bd:98,Ariel_University,6,-88,32.10293021,35.20946174,688.5715257,03/12/2017 08:54,Approx. w-center algo1,,32.10293021,MATCH,35.20946174,MATCH,688.5715257,MATCH
40,1c:b9:c4:16:1d:7c,Ariel_University,44,-89,32.10295457,35.20946628,688.8197665,03/12/2017 08:54,Approx. w-center algo1,,32.10295457,MATCH,35.20946628,MATCH,688.8197665,MATCH
41,1c:b9:c4:16:d2:88,Ariel_University,11,-77,32.10295801,35.20948898,688.9109817,03/12/2017 08:54,Approx. w-center algo1,,32.10295801,MATCH,35.20948898,MATCH,688.9109817,MATCH
42,ec:8c:a2:08:94:18,Ariel_University,1,-61,32.10296049,35.20952905,689,03/12/2017 08:54,Approx. w-center algo1,,32.10296049,MATCH,35.20952905,MATCH,689,NOT
43,1c:b9:c4:12:7c:c8,Ariel_University,11,-73,32.10296049,35.20955531,689,03/12/2017 08:54,Approx. w-center algo1,,32.10296049,MATCH,35.20955531,MATCH,689,MATCH
44,1c:b9:c4:16:f4:78,Ariel_University,1,-77,32.10296049,35.20959489,689.3832805,03/12/2017 08:54,Approx. w-center algo1,,32.10296049,MATCH,35.20959489,MATCH,689.3832805,MATCH
45,34:8f:27:20:8c:18,Ariel_University,6,-86,32.10296378,35.20965551,689.6115765,03/12/2017 08:54,Approx. w-center algo1,,32.10296378,MATCH,35.20965551,MATCH,689.6115765,MATCH
46,1c:b9:c4:12:90:b8,Ariel_University,11,-71,32.10298497,35.20966437,689.937678,03/12/2017 08:54,Approx. w-center algo1,,32.10298497,MATCH,35.20966437,MATCH,689.937678,MATCH
47,1c:b9:c4:16:28:f8,Ariel_University,6,-73,32.10298812,35.20966477,690,03/12/2017 08:54,Approx. w-center algo1,,32.10298812,MATCH,35.20966477,MATCH,690,MATCH
48,1c:b9:c4:96:d2:87, ,44,-83,32.10299184,35.20966518,690,03/12/2017 08:54,Approx. w-center algo1,,32.10299184,MATCH,35.20966518,MATCH,690,MATCH
49,8c:0c:90:2d:75:e8,Ariel_University,1,-77,32.10299287,35.2096724,690.023391,03/12/2017 08:54,Approx. w-center algo1,,32.10299287,MATCH,35.2096724,MATCH,690.023391,MATCH
50,1c:b9:c4:14:2f:68,Ariel_University,6,-63,32.10302085,35.20967774,690.3486239,03/12/2017 08:54,Approx. w-center algo1,,32.10302085,MATCH,35.20967774,MATCH,690.3486239,MATCH
51,1c:b9:c4:14:33:c8,Ariel_University,11,-75,32.10303985,35.20967867,690.7003682,03/12/2017 08:54,Approx. w-center algo1,,32.10303985,MATCH,35.20967867,MATCH,690.7003682,MATCH
52,1c:b9:c4:16:f1:98,Ariel_University,11,-73,32.10305306,35.20968827,690.8082143,03/12/2017 08:54,Approx. w-center algo1,,32.10305306,MATCH,35.20968827,MATCH,690.8082143,MATCH
53,f8:d1:11:77:77:c6,HelpDesk,4,-70,32.10307379,35.20968968,690.8556103,03/12/2017 08:54,Approx. w-center algo1,,32.10307379,MATCH,35.20968968,MATCH,690.8556103,MATCH
54,8c:0c:90:ad:75:e3, ,1,-76,32.10310981,35.20969477,690.8784428,03/12/2017 08:54,Approx. w-center algo1,,32.10310981,MATCH,35.20969477,MATCH,690.8784428,MATCH
55,1c:b9:c4:16:f4:7c,Ariel_University,36,-84,32.1031268,35.20969477,691.2650945,03/12/2017 08:54,Approx. w-center algo1,,32.1031268,MATCH,35.20969477,MATCH,691.2650945,MATCH
56,ec:8c:a2:08:78:cc,Ariel_University,48,-85,32.10315652,35.20969478,691.391404,03/12/2017 08:54,Approx. w-center algo1,,32.10315652,MATCH,35.20969478,MATCH,691.391404,MATCH
57,1c:b9:c4:16:11:ac,Ariel_University,44,-90,32.10319577,35.20969913,691.4192045,03/12/2017 08:54,Approx. w-center algo1,,32.10319577,MATCH,35.20969913,MATCH,691.4192045,MATCH
58,ec:8c:a2:26:b1:78,Ariel_University,1,-69,32.10323198,35.20969913,692.7648361,03/12/2017 08:54,Approx. w-center algo1,,32.10323198,MATCH,35.20969913,MATCH,692.7648361,MATCH
59,1c:b9:c4:16:11:a8,Ariel_University,1,-73,32.1032452,35.20969913,692.7964602,03/12/2017 08:54,Approx. w-center algo1,,32.1032452,MATCH,35.20969913,MATCH,692.7964602,MATCH
60,1c:b9:c4:16:ee:98,Ariel_University,6,-78,32.10326981,35.20971025,693,03/12/2017 09:04,Approx. w-center algo1,,32.10326981,MATCH,35.20971025,MATCH,693,MATCH
61,62:ab:1b:60:b4:cb,Bezeq Free,8,-78,32.10329589,35.2097119,693,03/12/2017 08:54,Approx. w-center algo1,,32.10329589,MATCH,35.2097119,MATCH,693,MATCH
62,a0:ab:1b:60:b4:ca,36518749,8,-87,32.10332787,35.2097119,693.9879864,03/12/2017 08:54,Approx. w-center algo1,,32.10332787,MATCH,35.2097119,MATCH,693.9879864,MATCH
63,1c:b9:c4:14:33:cc,Ariel_University,48,-86,32.10337114,35.20972421,694.3731328,03/12/2017 08:54,Approx. w-center algo1,,32.10337114,MATCH,35.20972421,MATCH,694.3731328,MATCH
64,1c:b9:c4:14:2b:d8,Ariel_University,1,-69,32.10337662,35.20975956,694.6152531,03/12/2017 08:54,Approx. w-center algo1,,32.10337662,MATCH,35.20975956,MATCH,694.6152531,MATCH
65,1c:b9:c4:14:2b:dc,Ariel_University,36,-74,32.10339963,35.20977924,694.7803059,03/12/2017 08:54,Approx. w-center algo1,,32.10339963,MATCH,35.20977924,MATCH,694.7803059,MATCH
66,c4:12:f5:f6:a0:18,lab_6.1.3,3,-80,32.10340144,35.20978049,695,03/12/2017 08:54,Approx. w-center algo1,,32.10340144,MATCH,35.20978049,MATCH,695,MATCH
67,ec:8c:a2:08:94:1c,Ariel_University,44,-70,32.10340998,35.20978221,695.5706069,03/12/2017 08:54,Approx. w-center algo1,,32.10340998,MATCH,35.20978221,MATCH,695.5706069,MATCH
68,1c:b9:c4:15:1e:68,Ariel_University,1,-80,32.10340998,35.20978446,696,03/12/2017 08:54,Approx. w-center algo1,,32.10340998,MATCH,35.20978446,MATCH,696,MATCH
69,1c:b9:c4:15:3a:38,Ariel_University,11,-76,32.10342274,35.20979542,696,03/12/2017 08:54,Approx. w-center algo1,,32.10342274,MATCH,35.20979542,MATCH,696,MATCH
70,00:11:6b:11:02:b7,yosh,1,-81,32.10342274,35.20982755,696.2530309,03/12/2017 08:54,Approx. w-center algo1,,32.10342274,MATCH,35.20982755,MATCH,696.2530309,MATCH
